"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","significance"
"ZNF652",1.40029395708723e-11,-0.410934406883311,0.985,0.996,2.10226131777506e-07,"Significant"
"TULP3",1.4062806325009e-11,-0.975146208700592,0.153,0.399,2.1112491135736e-07,"Significant"
"DBF4",1.40764749805469e-11,-1.32298396077976,0.085,0.279,2.11330118882951e-07,"Significant"
"SNRPG",1.4104101370407e-11,-1.50602446201233,0.083,0.27,2.1174487387392e-07,"Significant"
"IRGQ",1.42157427482293e-11,-0.440176330070959,0.974,0.957,2.13420945879166e-07,"Significant"
"CEP44",1.42604068066962e-11,-1.01116887752113,0.122,0.348,2.14091487388929e-07,"Significant"
"MTX3",1.42819858147524e-11,-0.869149872648703,0.162,0.421,2.14415453036877e-07,"Significant"
"PYCR2",1.4658699505724e-11,-0.350015764866339,0.993,1,2.20071055679435e-07,"Significant"
"GNPNAT1",1.4737603308729e-11,-1.62198480553185,0.068,0.245,2.21255638473949e-07,"Significant"
"MOCS3",1.47519408858603e-11,-1.07703138952123,0.103,0.318,2.21470888519421e-07,"Significant"
"FAM133B",1.50912792350203e-11,-1.00198195667474,0.151,0.395,2.2656537515536e-07,"Significant"
"CKS2",1.51073429827165e-11,-1.34091647686779,0.081,0.27,2.26806540199523e-07,"Significant"
"CDK11A",1.5110389687969e-11,-2.00911813795637,0.057,0.219,2.26852280385478e-07,"Significant"
"AGK",1.51442545670424e-11,-0.944497837875844,0.169,0.425,2.27360693815008e-07,"Significant"
"CCT4",1.55300572901947e-11,-1.35627734250765,0.088,0.283,2.33152750097693e-07,"Significant"
"CDNF",1.56739512950443e-11,-2.22062224315008,0.046,0.197,2.353130307925e-07,"Significant"
"OGA",1.60227939078288e-11,-0.290207318466035,0.998,1,2.40550204938234e-07,"Significant"
"PRDM10",1.605146277339e-11,-0.766904275707177,0.201,0.489,2.40980610616904e-07,"Significant"
"RANBP17",1.64483868648393e-11,-1.80558474387124,0.066,0.236,2.46939632001832e-07,"Significant"
"SLC7A9",1.64547292022631e-11,-2.39895948440859,0.033,0.172,2.47034849513576e-07,"Significant"
"ZNF345",1.64694287815511e-11,-0.869715081290953,0.193,0.464,2.47255534297427e-07,"Significant"
"ACAT1",1.64948577907973e-11,-1.1450712101429,0.11,0.326,2.47637300013239e-07,"Significant"
"MEX3A",1.6610941669725e-11,-1.04165210210476,0.138,0.369,2.49380067287582e-07,"Significant"
"HACL1",1.67534736790001e-11,-1.48772631329292,0.09,0.279,2.51519900342829e-07,"Significant"
"VWA7",1.68530060764604e-11,-2.62501249822942,0.029,0.163,2.530141802259e-07,"Significant"
"SMPDL3B",1.69275617975497e-11,-1.99114039702731,0.057,0.219,2.54133485266614e-07,"Significant"
"IBA57",1.71674205719403e-11,-0.867833184557958,0.206,0.485,2.57734485046539e-07,"Significant"
"TRIM54",1.78658344601542e-11,-3.59913386640381,0.007,0.107,2.68219772750295e-07,"Significant"
"SMG5",1.82649108344751e-11,-0.336048389007243,0.998,0.991,2.74211106357975e-07,"Significant"
"EIF4G2",1.82749035461903e-11,-1.05519863394271,0.133,0.361,2.74361126938955e-07,"Significant"
"PAQR5",1.85908047053854e-11,-1.47116570480068,0.076,0.258,2.79103751041951e-07,"Significant"
"PKM",1.88332789079783e-11,-0.256448673047495,1,1,2.82744016245478e-07,"Significant"
"COPS5",1.92295302150133e-11,-0.424577416229853,0.952,0.94,2.88692937117995e-07,"Significant"
"LRP6",1.92297510732382e-11,-0.903592947675558,0.168,0.421,2.88696252862526e-07,"Significant"
"UFSP2",1.92366973557016e-11,-1.26015060733672,0.085,0.279,2.88800537401148e-07,"Significant"
"TFDP1",1.94432245666733e-11,-0.893457499896572,0.144,0.386,2.91901130419466e-07,"Significant"
"ASPM",1.94949998461505e-11,-2.28773643900862,0.033,0.172,2.92678432690258e-07,"Significant"
"FAM24B",2.06908386092224e-11,-2.22062224315008,0.044,0.193,3.10631560040257e-07,"Significant"
"BRMS1L",2.07863317506398e-11,-1.17576800736582,0.118,0.33,3.12065198572355e-07,"Significant"
"DARS",2.09047100346423e-11,-1.0630809661636,0.131,0.356,3.13842411750085e-07,"Significant"
"OR2AE1",2.10106444382287e-11,-2.66119483453606,0.024,0.15,3.15432804951127e-07,"Significant"
"LYG1",2.11390134818866e-11,-1.05768367202388,0.125,0.348,3.17360009403563e-07,"Significant"
"MGST3",2.11895009842168e-11,-0.33565130264535,0.996,0.991,3.18117978276047e-07,"Significant"
"ING2",2.13604187358969e-11,-1.35337745200185,0.107,0.309,3.2068396648202e-07,"Significant"
"PLCD4",2.14636013245805e-11,-1.00381085407693,0.365,0.588,3.22233046685926e-07,"Significant"
"ANKRD24",2.15041415243418e-11,-2.6901075264513,0.022,0.146,3.22841676704943e-07,"Significant"
"PLGLB2",2.15250668177291e-11,-1.63565974242892,0.07,0.245,3.23155828134568e-07,"Significant"
"CHM",2.16252337939525e-11,-1.54255033803744,0.079,0.262,3.24659634948608e-07,"Significant"
"APOO",2.17710813694689e-11,-2.16999617008011,0.052,0.206,3.26849244599836e-07,"Significant"
"BARD1",2.1871426106855e-11,-2.16172855409651,0.044,0.193,3.28355720142214e-07,"Significant"
"SCAI",2.20117023347877e-11,-1.7800496517641,0.064,0.232,3.30461687152168e-07,"Significant"
"MMP15",2.2136609689214e-11,-0.588564624693624,0.775,0.85,3.3233692126417e-07,"Significant"
"LIFR",2.22709301963621e-11,-0.817863073649674,0.16,0.408,3.34353475037985e-07,"Significant"
"LDHD",2.23932090598906e-11,-1.29101157104148,0.096,0.296,3.36189247616138e-07,"Significant"
